순위,웹툰명
1,참교육-106화
2,퀘스트지상주의-57화 강북남고의 몰락
3,윈드브레이커-4부 - 37화 이탈
4,신화급 귀속 아이템을 손에 넣었다-25화
5,뷰티풀 군바리-355화_(임시)소수로서 첫 깨스
6,팔이피플-58화 - 이삿날
7,똑 닮은 딸-63화
8,장씨세가 호위무사-184화
9,버림받은 왕녀의 은밀한 침실-21화. 그 상처는 뭐지?
10,물어보는 사이-68화
